question,intent_recommend_budget,intent_recommend_usage,intent_tech_detail
"Laptop nào có màn hình 15.3 inch, giá dưới 50 triệu và phù hợp cho dân đồ họa?",1,1,0
MacBook Pro 16 M4 Max có dung lượng RAM bao nhiêu?,0,0,1
Laptop nào phù hợp cho công việc văn phòng và di chuyển?,0,1,0
Mức giá tối đa cho laptop tầm trung là bao nhiêu?,1,0,0
Laptop gaming nào có giá dưới 30 triệu đồng và card đồ họa rời?,1,1,0
Laptop nào cho thiết kế đồ họa với ngân sách khoảng 25 triệu?,1,1,0
Máy tính nào tối ưu cho học tập và lướt web?,0,1,0
"Giá của các laptop 15.6 inch, 16GB RAM là bao nhiêu?",1,0,0
Laptop nào có màn hình 120Hz hoặc cao hơn cho nhu cầu gaming?,0,1,1
Cần laptop 14 inch cho công việc văn phòng với giá dưới 20 triệu.,1,1,0
Có laptop nào dưới 15 triệu đồng không?,1,0,0
"Cấu hình CPU i5 thế hệ 12 hoặc 13, RAM 16GB, SSD 512GB có giá dưới 17 triệu không?",1,0,1
Laptop nào phù hợp cho công việc văn phòng với ngân sách dưới 20 triệu đồng?,1,1,0
Tiêu chí chọn laptop mỏng nhẹ cho người hay di chuyển là gì?,0,1,0
Cần tìm laptop cho thiết kế đồ họa với chi phí tối đa 25 triệu.,1,1,0
Chip xử lý của MacBook Air M3 13 inch là loại nào?,0,0,1
Model LG Gram nào có 16GB RAM và 512GB SSD?,0,1,1
Có laptop nào cho chơi game với giá khoảng 30 triệu không?,1,1,0
Giá bán của Mac mini M2 Pro 2023 là bao nhiêu?,1,0,0
MacBook Air M3 13 inch có đáp ứng tốt nhu cầu chỉnh sửa video không?,0,1,0
"Tìm laptop có RAM 16GB, SSD 512GB, giá dưới 35 triệu.",1,0,1
Laptop nào tốt nhất cho sinh viên với ngân sách dưới 15 triệu?,1,1,0
Laptop nào phù hợp cho lập trình với ngân sách dưới 25 triệu đồng?,1,1,0
Laptop văn phòng nào có giá dưới 27 triệu đồng?,1,1,0
Máy nào có màn hình 13 inch và chip M4 cho đồ họa?,0,1,1
Laptop dưới 40 triệu có 32GB RAM là máy nào?,1,0,1
Laptop nào phù hợp cho sinh viên cần máy mỏng nhẹ?,0,1,0
Laptop nào có giá tốt nhất cho nhu cầu sử dụng cơ bản?,1,0,0
Laptop gaming nào có chip Core i7 và giá dưới 30 triệu?,1,1,0
Cấu hình CPU của Lenovo Ideapad Slim 5 là gì?,0,0,1
Máy nào phù hợp cho công việc sáng tạo nội dung?,0,1,0
"Laptop nào có màn hình 15 inch, RAM 16GB và giá dưới 20 triệu đồng cho công việc văn phòng?",1,1,1
"Ưu tiên laptop mỏng nhẹ, hiệu năng tốt cho đồ họa với ngân sách khoảng 35 triệu là gì?",1,1,0
"Cấu hình chip M4, 16GB RAM, 512GB SSD trên MacBook Air 15 inch 2025 có phù hợp cho chỉnh sửa video không?",0,1,1
Laptop LG Gram 2024 14 inch có trọng lượng 1.12kg có phải là lựa chọn tốt cho người hay di chuyển không?,0,1,0
Những laptop nào có card đồ họa tích hợp và giá dưới 18 triệu đồng cho nhu cầu học tập cơ bản?,1,1,1
ASUS Vivobook 15 X1502VA-BQ886W có phù hợp cho công việc văn phòng không?,0,1,0
Tốc độ làm mới màn hình (refresh rate) 60Hz trên các laptop tầm trung có đủ đáp ứng nhu cầu chơi game không?,0,1,1
Ngân sách 30 triệu đồng có đủ để mua laptop Apple MacBook Air với cấu hình 16GB RAM và 512GB bộ nhớ không?,1,0,1
Laptop nào có trọng lượng dưới 1.5kg và giá dưới 30 triệu đồng cho người dùng cao cấp?,1,0,0
"Cần tìm laptop cho thiết kế đồ họa, ưu tiên màn hình lớn và bộ nhớ 512GB trong khoảng giá 25-30 triệu.",1,1,1
Laptop nào phù hợp cho đồ họa với ngân sách dưới 25 triệu?,1,1,0
Tìm laptop gaming dưới 20 triệu?,1,1,0
Laptop nào tối ưu cho sáng tạo nội dung?,0,1,0
"Ngân sách cho laptop cao cấp, sang trọng là bao nhiêu?",1,0,0
Cấu hình CPU M4 Max có phù hợp cho công việc kỹ thuật không?,0,1,1
Laptop nào mỏng nhẹ và có thời lượng pin tốt cho văn phòng?,0,1,0
Laptop nào cho sinh viên với ngân sách dưới 15 triệu?,1,1,0
Laptop Acer Aspire 3 có đủ mạnh cho game không?,0,1,0
Máy nào có dung lượng lưu trữ 1TB và giá dưới 40 triệu?,1,0,1
Tần số quét màn hình có quan trọng cho nhu cầu làm việc văn phòng không?,0,1,0
Laptop nào dưới 20 triệu cấu hình mạnh cho chơi game đồ họa nặng?,1,1,0
MacBook Air M4 13 inch có phù hợp cho công việc đồ họa sáng tạo nội dung không?,0,1,0
Cấu hình chip 12700H và card đồ họa rời có đủ cho nhu cầu gaming không?,0,1,1
Laptop HP Probook 460 G11 có giá bao nhiêu và thích hợp cho văn phòng không?,1,1,0
Ưu điểm của màn hình 165Hz trên laptop Acer Nitro 5 là gì?,0,0,1
"Tìm laptop mỏng nhẹ, cấu hình tốt cho học tập và văn phòng dưới 15 triệu?",1,1,0
Laptop Dell Inspiron 15 3520 có card đồ họa rời không?,0,0,1
Laptop Asus Vivobook 16 X1605VA với 16GB RAM có phù hợp cho đồ họa kỹ thuật không?,0,1,0
Nên chọn laptop gaming hay laptop sáng tạo nội dung với ngân sách 25 triệu?,1,1,0
MacBook Air M4 với 24GB RAM và 512GB SSD có giá bao nhiêu?,1,0,1
Macbook Pro 14 inch M3 2023 (8 CPU - 10 GPU 16GB 512GB) có giá bao nhiêu?,1,0,0
Laptop nào phù hợp cho việc học tập và làm việc văn phòng?,0,1,0
Tìm laptop gaming có ngân sách dưới 15 triệu đồng.,1,1,0
Cần laptop dưới 20 triệu cho công việc sáng tạo nội dung.,1,1,0
Laptop nào tầm giá 25-30 triệu là lựa chọn tốt cho đồ họa kỹ thuật?,1,1,0
"Giới thiệu laptop mỏng nhẹ, sang trọng, giá dưới 30 triệu.",1,1,0
Laptop nào dưới 35 triệu phù hợp cho cả công việc văn phòng và đồ họa?,1,1,0
Laptop Asus Vivobook S 15 có dung lượng lưu trữ 1TB giá bao nhiêu?,1,0,1
Laptop MSI Gaming GF63 Thin có tần số quét màn hình bao nhiêu Hz?,0,1,1
"Cần laptop có CPU M1 Max, RAM 32GB, ổ cứng 1TB cho đồ họa, giá dưới 100 triệu.",1,1,1
"Laptop nào có màn hình 15.6 inch, card RTX 2050 và giá dưới 20 triệu đồng cho nhu cầu gaming?",1,1,1
"Yêu cầu laptop mỏng nhẹ cho dân văn phòng, ngân sách tối đa 15 triệu.",1,1,0
"Tìm laptop có CPU i5 thế hệ 12 hoặc 13, RAM 8GB, phục vụ công việc đồ họa cơ bản.",0,1,1
Laptop HP Pavilion 15 có phù hợp cho công việc sáng tạo nội dung không?,0,1,0
Nhu cầu chơi game nặng cần laptop có card đồ họa rời và tần số quét màn hình bao nhiêu?,0,1,1
Có laptop nào dưới 18 triệu có cấu hình tốt cho cả học tập và thiết kế đồ họa không?,1,1,0
Laptop Dell Inspiron 14 5430 có trọng lượng bao nhiêu?,0,0,1
Laptop ASUS Zenbook 14 UX3405CA-PZ187WS có giá khoảng bao nhiêu và dùng cho văn phòng được không?,1,1,0
"Cần laptop có RAM 16GB và SSD 512GB cho lập trình, ngân sách 25 triệu.",1,1,1
Laptop nào có tần số quét 144Hz và giá tốt cho game thủ?,1,1,0
Có laptop nào dưới 20 triệu đồng cấu hình đủ để làm đồ họa kỹ thuật không?,1,1,0
Laptop nào có màn hình 15.6 inch tần số quét 120Hz và giá dưới 20 triệu?,1,0,1
Máy tính xách tay nào phù hợp cho nhu cầu học tập - văn phòng với ngân sách 15 triệu?,1,1,0
Laptop Dell Inspiron 15 3520 có những tính năng gì cho công việc đồ họa?,0,1,1
"Cần tìm laptop có 16GB RAM và 512GB SSD cho công việc văn phòng, giá dưới 25 triệu?",1,1,1
iMac M4 2024 có phù hợp cho nhu cầu thiết kế đồ họa không?,0,1,0
Laptop Lenovo IdeaPad Slim 5 có cấu hình như thế nào?,0,0,1
Ngân sách 30 triệu có mua được laptop cấu hình cao cho gaming và đồ họa không?,1,1,0
Laptop nào có trọng lượng dưới 1.5kg và màn hình 14 inch cho công việc di chuyển?,0,1,1
Máy tính Apple nào có giá dưới 40 triệu và phù hợp cho công việc văn phòng cao cấp?,1,1,0
Laptop gaming nào có giá dưới 30 triệu đồng?,1,1,0
Tìm laptop cho học tập văn phòng dưới 15 triệu đồng.,1,1,0
Laptop sáng tạo nội dung với ngân sách dưới 30 triệu là gì?,1,1,0
Laptop gaming có card đồ họa RTX 5080 và màn hình 120Hz là những mẫu nào?,0,1,1
Cấu hình RAM và dung lượng lưu trữ của MacBook Air 13 inch M4 là bao nhiêu?,0,0,1
Có laptop nào dưới 20 triệu đồng không?,1,0,0
Laptop nào phù hợp cho công việc đồ họa kỹ thuật?,0,1,0
Ngân sách 18 triệu đồng có thể mua được laptop nào cho việc học tập?,1,1,0
Laptop gaming nào có giá khoảng 40 triệu?,1,1,0
Laptop dưới 25 triệu có chip Intel Core Ultra 7 không?,1,0,1
Laptop nào phù hợp cho công việc thiết kế đồ họa và chỉnh sửa video chuyên nghiệp?,0,1,0
Tìm laptop dưới 15 triệu đồng có hiệu năng ổn định cho công việc văn phòng.,1,0,0
"Cần laptop gaming cấu hình mạnh mẽ, ngân sách khoảng 35 triệu đồng.",1,1,0
Laptop nào tốt nhất cho sinh viên học tập và giải trí nhẹ nhàng trong tầm giá 20 triệu?,1,1,0
"Laptop có màn hình 14 inch, tần số quét 120Hz có phù hợp cho nhu cầu đồ họa kỹ thuật không?",0,1,1
Có laptop nào dưới 45 triệu đồng trang bị chip M4 Pro 10CPU 10GPU không?,1,0,1
Lựa chọn laptop nào cho công việc sáng tạo nội dung với mức giá dưới 40 triệu?,1,1,0
Máy tính xách tay nào có trọng lượng dưới 1.6kg và phù hợp cho việc di chuyển nhiều?,0,1,0
"Tìm laptop chơi game có card RTX 5080 và dung lượng lưu trữ 4TB, giá dưới 130 triệu.",1,1,0
"Laptop nào có RAM 64GB, CPU Core i9 cho nhu cầu đồ họa nặng với ngân sách khoảng 100 triệu?",1,1,1
Laptop nào phù hợp cho học tập và văn phòng với ngân sách dưới 20 triệu?,1,1,0
Máy nào tối ưu cho công việc sáng tạo nội dung?,0,1,0
Có laptop nào dưới 15 triệu cấu hình tốt không?,1,0,0
"Laptop nào cấu hình mạnh mẽ cho đồ họa, có 32GB RAM và giá dưới 40 triệu?",1,1,1
Máy nào phù hợp cho nhu cầu gaming?,0,1,0
"Máy nào phù hợp cho công việc văn phòng, di chuyển nhiều và giá dưới 25 triệu?",1,1,0
Tần số quét màn hình của Macbook Pro 14 M3 Max là bao nhiêu?,0,0,1
Laptop nào có màn hình 16 inch và giá khoảng 28 triệu cho công việc văn phòng?,1,1,0
Máy nào có chip M3 Max và 36GB RAM cho các tác vụ đồ họa nặng?,0,1,1
Laptop nào có giá thấp nhất trong các mẫu Vivobook?,1,0,0
MacBook Air M4 15 inch có phù hợp cho thiết kế đồ họa không?,0,1,0
Laptop Asus Vivobook 15 X1504ZA-NJ517W giá bao nhiêu?,1,0,0
"Cần laptop mỏng nhẹ cho văn phòng dưới 15 triệu đồng, ưu tiên hiệu năng ổn định.",1,1,0
MacBook Air M3 15 inch 2024 có 8GB RAM và 512GB SSD không?,0,0,1
Laptop nào có màn hình 14 inch tần số quét 120Hz và CPU Intel Core Ultra 7?,0,0,1
"Tìm laptop gaming cấu hình mạnh mẽ, ngân sách khoảng 20 triệu đồng.",1,1,0
Asus Vivobook 16 X1605VA-MB1795W có phù hợp cho công việc lập trình không?,0,1,0
MacBook Air M4 với 16GB RAM và 512GB dung lượng lưu trữ có giá bao nhiêu?,1,0,1
Laptop Asus Zenbook 14 OLED UX3405MA có 32GB RAM và 1TB SSD không?,0,0,1
"Nhu cầu học tập và văn phòng, nên chọn MacBook Air M3 hay Asus Vivobook 15?",0,1,0
Laptop nào phù hợp cho công việc văn phòng và di chuyển nhiều?,0,1,0
Máy tính nào được thiết kế chuyên dụng cho đồ họa và kỹ thuật?,0,1,0
Có laptop nào giá dưới 15 triệu đồng không?,1,0,0
Mức giá của các mẫu laptop Dell Inspiron 15 là bao nhiêu?,1,0,0
Laptop nào phù hợp cho nhu cầu chơi game với ngân sách dưới 20 triệu?,1,1,0
Laptop MSI Modern 14 có phù hợp cho học tập và giá dưới 14 triệu không?,1,1,0
Tìm laptop cho sinh viên kỹ thuật với chi phí tối đa 25 triệu.,1,1,0
Laptop nào có màn hình 15.6 inch và tần số quét 120Hz cho nhu cầu giải trí?,0,1,1
Máy tính Apple iMac với cấu hình 16GB RAM và 512GB SSD giá bao nhiêu?,1,0,1
"Cần laptop gaming chip Intel Core i7, RAM 16GB, ổ cứng SSD 512GB, giá dưới 30 triệu.",1,1,1
Laptop Acer Nitro 5 AN515 58 52SP có phù hợp cho nhu cầu đồ họa và gaming không?,0,1,0
ASUS Zenbook DUO UX8406CA-PZ109WS-Xám có cấu hình chip 285h và 32GB RAM không?,0,0,1
"Tìm laptop học tập - văn phòng dưới 20 triệu đồng, có màn hình 15.6 inch.",1,1,1
iMac M3 24 inch với 16GB RAM và 512GB SSD có giá bao nhiêu?,1,0,1
Laptop HP 15-FD0235TU 9Q970PA-Bạc có cấu hình phù hợp cho công việc văn phòng không?,0,1,0
Ngân sách 30 triệu nên chọn laptop gaming có card đồ họa rời hay card tích hợp?,1,1,1
"Laptop nào mỏng nhẹ, cao cấp và sang trọng với màn hình 14 inch?",0,1,0
Cấu hình chip M3 của iMac có đủ mạnh cho đồ họa kỹ thuật không?,0,1,1
Có laptop nào dưới 25 triệu đồng cho nhu cầu sáng tạo nội dung và đồ họa không?,1,1,0
Laptop nào có tần số quét màn hình 144Hz và giá dưới 30 triệu?,1,0,1
Laptop nào có giá dưới 15 triệu đồng cho nhu cầu làm việc văn phòng và đồ họa cơ bản?,1,1,0
Cấu hình của MacBook Air M4 với 24GB RAM và 512GB SSD phù hợp cho những công việc gì?,0,1,1
Ngân sách 20 triệu có nên mua laptop gaming hay laptop chuyên đồ họa?,1,1,0
Laptop Asus Vivobook 16 X1605VA có phù hợp cho việc học tập và văn phòng không?,0,1,0
"Tìm laptop mỏng nhẹ, sang trọng với cấu hình chip M4, giá khoảng 35 triệu.",1,1,1
Laptop nào có màn hình 16 inch và tần số quét 60Hz trong tầm giá 15 triệu?,1,0,1
"Nhu cầu sáng tạo nội dung, thiết kế đồ họa có cần laptop RAM 32GB không?",0,1,1
MacBook Air M4 1TB có giá bao nhiêu và có phù hợp cho việc di chuyển nhiều không?,1,1,0
Laptop nào có trọng lượng dưới 2kg và giá dưới 18 triệu đồng?,1,0,0
So sánh hiệu năng CPU của chip Intel Core i5 thế hệ 13 với chip Apple M4.,0,0,1
"Laptop nào có chip i7, RAM 16GB, SSD 512GB, màn hình 14 inch, dưới 25 triệu đồng cho nhu cầu đồ họa?",1,1,1
Có nên mua MacBook Air M4 32GB cho công việc sáng tạo nội dung không?,0,1,0
Laptop Lenovo LOQ 15IAX9 có card đồ họa rời không?,0,0,1
Ngân sách 20 triệu đồng có thể mua được laptop gaming cấu hình tốt không?,1,1,0
"Cần tìm laptop mỏng nhẹ, giá dưới 18 triệu đồng cho học tập và văn phòng.",1,1,0
Laptop HP 240 G10 với 16GB RAM và 512GB SSD có phù hợp cho nhu cầu văn phòng cao cấp không?,0,1,1
Tần số quét màn hình 144Hz có quan trọng cho laptop gaming không?,0,1,1
Cần laptop có trọng lượng dưới 1.5kg và giá khoảng 23 triệu đồng.,1,0,1
Laptop nào có chip i5 1335U và 16GB RAM cho hiệu năng văn phòng ổn định?,0,1,1
Giá của laptop Lenovo IdeaPad 5 2in1 với chip i7 và 16GB RAM là bao nhiêu?,1,0,1
Laptop nào dưới 20 triệu có cấu hình tốt cho gaming và đồ họa?,1,1,0
Cấu hình CPU và card đồ họa của Laptop HP 15-FD0235TU là gì?,0,0,1
"Tôi cần laptop cho học tập - văn phòng dưới 16 triệu, ưu tiên máy nhẹ.",1,1,0
Laptop ASUS TUF Gaming A15 FA506NCR-HN047W có màn hình tần số quét bao nhiêu?,0,1,1
Ngân sách 25 triệu có mua được laptop Apple nào đáp ứng nhu cầu sáng tạo nội dung không?,1,1,0
Cấu hình RAM bao nhiêu là đủ cho laptop chạy các ứng dụng kỹ thuật?,0,1,1
Laptop Acer Gaming Aspire 5 A515 có giá bao nhiêu và phù hợp cho gaming không?,1,1,0
Laptop nào có trọng lượng dưới 1.7kg và màn hình 15.6 inch?,0,0,1
Tôi nên chọn laptop có card rời hay card tích hợp cho công việc văn phòng?,0,1,1
"Tìm laptop cao cấp, sang trọng với cấu hình mạnh cho đồ họa dưới 50 triệu.",1,1,0
Laptop nào dưới 20 triệu đồng phù hợp cho việc chỉnh sửa video và đồ họa?,1,1,0
MacBook Air M4 13 inch có đủ mạnh cho lập trình không?,0,1,0
Cấu hình CPU và dung lượng RAM của Lenovo Ideapad Slim 3 14IRH8 là bao nhiêu?,0,0,1
Laptop nào có trọng lượng dưới 1.3kg và giá dưới 25 triệu đồng?,1,0,0
MacBook Air M3 15 inch có phù hợp cho công việc văn phòng và thiết kế đồ họa cơ bản không?,0,1,0
Tìm laptop HP Elitebook 630 G10 với 16GB RAM và màn hình 13.3 inch.,0,0,1
Ngân sách 30 triệu có mua được MacBook Air M4 15 inch với 24GB RAM không?,1,0,1
Laptop nào có tần số quét màn hình cao và giá dưới 20 triệu cho gaming?,1,1,0
MacBook Air M4 13 inch có chip M4 và 16GB RAM có phù hợp cho công việc sáng tạo nội dung không?,0,1,1
"Ưu tiên laptop mỏng nhẹ cho công việc văn phòng, hiệu năng tốt, giá dưới 18 triệu?",1,1,0
"Laptop nào có màn hình 15.6 inch, tần số quét 144Hz, phù hợp cho chơi game và có giá dưới 27 triệu?",1,1,1
"Cần tìm laptop cho đồ họa kỹ thuật với chip Core i5 thế hệ 13, RAM 8GB, giá khoảng 16 triệu.",1,1,1
Laptop HP Pavilion 15 có card đồ họa tích hợp hay card rời?,0,0,1
"Tư vấn laptop gaming có card rời, giá dưới 20 triệu.",1,1,0
Laptop nào phù hợp cho nhu cầu học tập - văn phòng với chip Intel thế hệ 12?,0,1,1
Chi phí cho laptop Acer Gaming Aspire 5 là bao nhiêu?,1,0,0
Tìm laptop có 16GB RAM và ổ cứng 512GB cho công việc văn phòng.,0,1,1
Laptop Lenovo LOQ 15IAX9 có đủ mạnh cho các tựa game AAA không?,0,1,0
Laptop HP Pavilion 15 có trọng lượng bao nhiêu?,0,0,1
Có laptop nào đáp ứng cả nhu cầu gaming và thiết kế đồ họa với ngân sách 25 triệu không?,1,1,0
Laptop nào có giá dưới 15 triệu đồng phù hợp cho công việc đồ họa?,1,1,0
Cấu hình chip Intel Core i7 và card đồ họa NVIDIA RTX 4060 có trên những laptop gaming nào?,0,1,1
Tìm laptop mỏng nhẹ dưới 1.5kg với màn hình 14 inch và giá dưới 20 triệu.,1,1,1
Laptop MSI Bravo 15 B7ED có màn hình 144Hz không?,0,0,1
Ngân sách 10 triệu đồng có mua được laptop học tập - văn phòng với RAM 8GB không?,1,1,1
Laptop Apple iMac M4 2024 có phù hợp cho thiết kế đồ họa chuyên nghiệp không?,0,1,0
"Cần laptop cho lập trình, ưu tiên CPU mạnh và dung lượng SSD 512GB.",0,1,1
Laptop Samsung Galaxy Chromebook Go XE310XDA có 32GB dung lượng lưu trữ có đủ cho nhu cầu sử dụng không?,0,0,1
Cấu hình RAM 16GB và bộ nhớ 512GB có cần thiết cho laptop văn phòng không?,0,1,1
Laptop gaming nào có giá dưới 25 triệu?,1,1,0
Laptop nào phù hợp cho học tập và văn phòng với ngân sách dưới 15 triệu?,1,1,0
Laptop nào có giá tốt nhất trong phân khúc dưới 20 triệu?,1,0,0
Laptop gaming nào có cấu hình tốt nhất trong tầm giá 30 triệu?,1,1,0
"Laptop nào cho học tập và văn phòng với cấu hình tốt, giá dưới 18 triệu?",1,1,0
Laptop nào sử dụng CPU 13420H?,0,0,1
Laptop nào có dung lượng RAM 24GB?,0,0,1
Laptop nào màn hình 15.6 inch có giá dưới 19 triệu?,1,0,1
Laptop nào có trọng lượng nhẹ và phù hợp cho việc di chuyển nhiều?,0,1,0
Laptop nào phù hợp cho gaming với ngân sách dưới 20 triệu đồng?,1,1,0
Laptop nào có màn hình 144Hz và phù hợp cho gaming?,0,1,1
Cấu hình CPU của Laptop Acer Gaming Aspire 5 A515 là gì?,0,0,1
Laptop nào có RAM 16GB và giá dưới 30 triệu đồng cho công việc đồ họa?,1,1,0
MacBook Air 13 inch M4 có giá bao nhiêu?,1,0,0
Laptop nào có trọng lượng dưới 1.5kg và phù hợp cho công việc văn phòng?,0,1,0
ASUS TUF Gaming A15 FA507NV-LP110W có phù hợp cho nhu cầu gaming nặng không?,0,1,0
Laptop nào dưới 15 triệu đồng có 512GB SSD và card rời?,1,0,0
Cần tìm laptop cho đồ họa với ngân sách khoảng 35 triệu.,1,1,0
"Cần laptop mỏng nhẹ, cấu hình cao cho công việc, giá dưới 40 triệu.",1,1,0
Laptop nào có thể chơi game tốt với ngân sách dưới 25 triệu đồng?,1,1,0
Tìm laptop mỏng nhẹ cho công việc văn phòng và đồ họa với giá dưới 30 triệu.,1,1,0
Giá của MacBook Air M4 13 inch 2025 là bao nhiêu?,1,0,0
Máy nào phù hợp cho nhu cầu sáng tạo nội dung và thiết kế đồ họa?,0,1,0
Cấu hình CPU Intel Core i7 thế hệ 13 có trên mẫu laptop nào?,0,0,1
Tần số quét màn hình 144Hz có phải là tiêu chuẩn cho laptop gaming không?,0,0,1
Laptop nào có 16GB RAM và giá dưới 28 triệu đồng?,1,0,1
Laptop nào trang bị card đồ họa rời cho trải nghiệm chơi game mượt mà?,0,1,1
"Tìm laptop gaming Acer Nitro V với chip xử lý mạnh mẽ, RAM 16GB và giá dưới 27 triệu.",1,1,1
Có laptop nào dưới 20 triệu cấu hình đủ dùng cho văn phòng và lướt web không?,1,1,0
Laptop nào có giá dưới 15 triệu đồng?,1,0,0
Máy tính nào phù hợp cho công việc thiết kế đồ họa?,0,1,0
Tốc độ làm mới màn hình của MSI Cyborg 15 A12UCX-281VN là bao nhiêu?,0,0,1
Dung lượng SSD của Acer Aspire 3 A314 42P R3B3 là bao nhiêu?,0,0,1
Laptop gaming dưới 20 triệu đồng có cấu hình như thế nào?,1,1,0
Laptop nào phù hợp cho học tập và văn phòng với ngân sách khoảng 12 triệu?,1,1,0
Laptop nào cho nhu cầu đồ họa kỹ thuật với giá dưới 25 triệu?,1,1,0
Máy tính xách tay có RAM 16GB và giá dưới 24 triệu là loại nào?,1,0,1
Laptop nào có card đồ họa rời và màn hình 144Hz?,0,1,1
"Laptop nào trang bị chip Core i5, màn hình 14 inch, phục vụ tốt cho gaming và đồ họa, với mức giá dưới 25 triệu?",1,1,1
"Laptop nào phù hợp cho việc học tập và văn phòng, ưu tiên mỏng nhẹ?",0,1,0
Ngân sách 15 triệu có thể mua laptop nào tốt cho nhu cầu cơ bản?,1,0,0
Giới thiệu laptop cho sinh viên sáng tạo nội dung với ngân sách khoảng 25 triệu.,1,1,0
Laptop nào dưới 20 triệu đồng cho công việc đồ họa?,1,1,0
Tốc độ làm mới màn hình của Lenovo Yoga Slim 9 là bao nhiêu?,0,0,1
Tìm laptop cho game có cấu hình CPU Core i7.,0,1,1
MacBook Air M4 13 inch 2025 với 512GB bộ nhớ giá bao nhiêu?,1,0,1
Có laptop nào dưới 18 triệu đồng đáp ứng tốt nhu cầu làm việc văn phòng không?,1,1,0
Laptop nào cho nhu cầu thiết kế đồ họa và kỹ thuật?,0,1,0
Laptop nào có giá dưới 30 triệu đồng cho lập trình?,1,1,0
Laptop nào có thể đáp ứng tốt nhu cầu thiết kế đồ họa và chơi game với ngân sách dưới 30 triệu đồng?,1,1,0
Cấu hình RAM 16GB và ổ cứng SSD 512GB có phù hợp cho công việc văn phòng không?,0,1,1
Macbook Pro 14 M3 Max có màn hình tần số quét 120Hz không?,0,0,1
Ưu tiên laptop mỏng nhẹ cho việc học tập với giá dưới 15 triệu đồng.,1,1,0
Laptop Asus TUF Gaming F15 có card đồ họa rời không?,0,1,1
