question,intent_recommend_budget,intent_recommend_usage,intent_tech_detail
USB Type-C có hỗ trợ DisplayPort không?,0,0,1
máy này có thiết kế đồ họa được không,0,1,0
Máy có thể xuất màn hình rời tối đa bao nhiêu Hz?,0,0,1
Máy có đèn bàn phím không?,0,0,1
Máy có cho phép tháo thanh RAM 8GB để cắm thanh 16GB không?,0,0,1
Máy này vỏ nhựa hay kim loại?,0,0,1
RAM 16GB hay 8GB nâng cấp?,0,0,1
Có nâng cấp SSD được không?,0,0,1
tỷ lệ màn hình của laptop này là bao nhiêu?,0,0,1
Máy có nâng cấp hoặc thay RAM được không?,0,0,1
pin loại này dùng được bao nhiêu tiếng?,0,0,1
Laptop HP Pavilion X360 14 ek2024TU Core 5 120U/16GB/512GB/Touch/Pen/Win11 lên đời Macbook Air M4 16GB-512GB thì giá bù là bao nhiêu?,1,0,0
m4 có hỗ trợ chương trình giáo dục không?,0,1,0
Macbook Air M3 13 inch 16GB - 512GB đổi lên MacBook Air M4 13 inch 10CPU 10GPU 16GB 512GB thì bù bao nhiêu tiền?,1,0,0
Mac Air M1 2020 lên Mac Pro M4 cần bao nhiêu tiền?,1,0,0
Cần bù thêm bao nhiêu tiền để nâng cấp từ Macbook Pro M1 16 inch lên MacBook Pro 14 M4 10CPU 10GPU 16GB 512GB?,1,0,1
"Máy này có chạy mượt các phần mềm đồ họa như Capcut, Photoshop, Illustrator không? Thời gian sử dụng pin trung bình của máy là bao lâu?",0,1,1
Laptop nào màu đen?,0,0,1
Có thể nâng cấp từ MacBook Air M1 8GB 2020 lên MacBook Pro 14 M4 10CPU 10GPU 16GB 512GB không?,0,0,1
Macbook M4 học ngành kinh tế được không?,0,1,0
Con M1 2021 pin 82% thu lại bao nhiêu tiền và khi mua Mac mới có được giảm 2 triệu khi thu cũ đổi mới không?,1,0,0
Mac mini này có cài đặt Windows được không?,0,0,1
Màn hình Dell P2419H có thể sử dụng với Mac Mini M4 được không?,0,0,1
"Mac Mini M4 nên dùng màn hình, bàn phím, chuột loại nào để tối ưu hiệu suất?",0,1,1
Mac mini M4 có kết nối được 3 màn hình không?,0,0,1
Máy có hỗ trợ xuất màn hình tần số quét cao hơn 60Hz không?,0,0,1
laptop gaming nào ổn tầm 21 triệu?,1,1,0
Máy này có card rời không và giới thiệu các mẫu có card rời.,0,1,1
Nâng cấp RAM từ 16GB lên 32GB giá bao nhiêu?,0,0,1
Máy tính này đã bao gồm cài đặt phần mềm Microsoft Office chưa?,0,0,1
Nâng cấp lên 1TB có mất phí không?,0,0,1
Hỗ trợ nâng cấp tối đa 1TB là lắp thêm 1TB hay chỉ 512GB?,0,0,1
Thời lượng pin của máy này là bao nhiêu tiếng?,0,0,1
có thể lắp 2 thanh RAM Laptop Corsair Vengeance 16GB 3200MHZ DDR4 1.2V không?,0,0,1
Lựa chọn nâng cấp RAM và SSD tốt nhất cho máy này?,0,0,1
Nâng cấp RAM lên 2 thanh 16GB DDR5 được không?,0,0,1
RAM 16GB là một thanh hay hai thanh 8GB?,0,0,1
Card rời hay card onboard?,0,0,1
Laptop Asus TUF Gaming F15 FX507ZC4-HN095W nâng ổ cứng lên 1T giá bao nhiêu?,1,0,1
Con này có hỗ trợ card đồ họa và nâng cấp RAM không?,0,0,1
Có tiếng Việt không?,0,0,1
Cổng Type-C có chuyển dữ liệu sang USB được không?,0,0,1
Máy này chạy mượt AutoCAD và Revit không?,0,1,0
Laptop Lenovo LOQ 15IAX9 83GS000RVN nâng cấp lên 32GB RAM và 1TB SSD giá bao nhiêu tiền?,1,0,0
RAM mẫu này là 1x16GB hay 2x8GB dual channel?,0,0,1
máy này sản xuất năm nào,0,0,1
Cửa hàng có bán RAM 12GB DDR5 4800MHz và hỗ trợ lắp đặt không?,0,0,1
Laptop này có dựng phim 4k và chỉnh ảnh được không?,0,1,0
Dòng này có cổng Thunderbolt 4 không?,0,0,1
"Laptop này có sẵn PPT, Word, Excel chưa?",0,0,1
Mua laptop có được cài Office không?,0,0,1
laptop nào dưới 20 triệu chơi được game Genshin Impact?,1,1,0
laptop dưới 14 triệu để học tập,1,1,0
màn hình có cảm ứng không?,0,0,1
Máy có đèn LED bàn phím không?,0,0,1
Máy này mới nguyên phải không?,0,0,1
"Máy này học marketing dùng PTS, Canva có ổn không?",0,1,0
laptop này sử dụng tấm nền TN hay IPS?,0,0,1
Máy học tập được không?,0,1,0
Chạy PTS mượt không?,0,1,0
"Máy có cài sẵn Excel, Word không? Máy có màu đen không?",0,0,1
"Vỏ nhựa sử dụng lâu dài có ảnh hưởng gì không, có bị nóng máy bị méo không?",0,0,1
Laptop này có đèn bàn phím không?,0,0,1
Máy này có cổng LAN không?,0,0,1
Nâng thêm 8GB RAM hết bao nhiêu tiền?,1,0,1
máy này bao nhiêu sRGB,0,0,1
Đổi Acer Aspire 3 A315-56 lấy con này cần bù bao nhiêu?,1,0,0
Pin máy khi chơi Liên Minh được bao nhiêu tiếng?,0,1,1
máy này có đạt 100% sRGB không?,0,0,1
Acer Nitro 5 Tiger có nâng cấp thêm 8GB RAM được không?,0,0,1
Laptop Acer Nitro 5 Tiger i5 12500H RTX 3050 RAM 8GB có chơi được Elden Ring max setting không?,0,1,0
Máy có sẵn win11 single language thì đặt lại máy có mất bản quyền không?,0,0,1
Có tối ưu game không?,0,1,0
"Con này có 3 cổng USB, cổng nào là 3.1 và cổng nào là 3.2?",0,0,1
Con này vỏ gì?,0,0,1
máy này chơi Liên Minh ổn không?,0,1,0
Máy này sạc cổng gì?,0,0,1
Có laptop nào pin 7 tiếng và chơi game nhẹ - trung bình không?,0,1,1
"Laptop này pin dùng được 7 tiếng không? Nếu không, có máy nào pin 7 tiếng và chơi game nhẹ đến trung bình không?",0,1,1
Phiên bản 13.999.000 có những mức trả góp nào và giá trả trước cụ thể là bao nhiêu?,1,0,0
Quạt tản nhiệt kêu lớn có bình thường không?,0,0,1
Laptop có hỗ trợ card Iris Xe Graphics khi chạy dual channel RAM không?,0,0,1
Máy này có phù hợp để học 3D hoặc 2D không?,0,1,0
"Máy này là loại cũ hay mới nguyên kiện, có phù hợp học 3D hoặc 2D không?",0,1,1
Con gái mang laptop này có nặng quá không?,0,0,1
Có màu khác không,0,0,1
"Laptop có phù hợp để học kỹ thuật, chạy phần mềm SolidWorks, Rhino, Max, AutoCAD, AutoShip và chơi game Minecraft, TFT, LoL không?",0,1,0
"Thời lượng pin cho tác vụ văn phòng, lướt web là bao nhiêu giờ?",0,1,1
Máy có led bàn phím không,0,0,1
máy này có tương thích với Ram Laptop GSkill Ripjaws 16GB DDR4 3200MHz (F4-3200C22S-16GRS) không,0,0,1
máy này RAM DDR4 bao nhiêu MHz?,0,0,1
Máy này có hỗ trợ nâng cấp ổ cứng không?,0,0,1
Con này có khe nâng cấp ổ cứng không?,0,0,1
Máy này có nâng cấp được ổ cứng không?,0,0,1
thời gian sử dụng máy cho học đồ họa bao lâu và máy có sẵn Microsoft không?,0,1,1
Laptop này có nâng được thêm RAM không?,0,0,1
"So với laptop Lenovo IdeaPad Slim 3 14IRH8 83EL0023VN, máy nào phù hợp chơi game và làm việc liên tục nhiều giờ hơn?",0,1,0
"Tốc độ đọc của ổ cứng này là bao nhiêu, có thể update thêm ổ cứng hay phải thay mới không, và RAM có thể lên tối đa bao nhiêu GB?",0,0,1
Con này làm đồ họa được không?,0,1,0
"Tản nhiệt máy có tốt không và có chạy được các ứng dụng Adobe, Capcut không?",0,1,1
Nâng cấp pin cho Laptop ASUS Gaming VivoBook K3605ZC-RP564W có được không?,0,0,1
Máy này có vừa sạc vừa dùng được không?,0,0,1
Máy có phù hợp cho sinh viên IT và chơi game Valorant không?,0,1,0
Máy này học truyền thông đa phương tiện được không?,0,1,0
Mẫu này có đèn bàn phím không?,0,0,1
So sánh độ bền và ổn định giữa máy này và Lenovo LOQ bản RTX 3050 khi chơi Genshin Impact.,0,1,0
Laptop Asus Gaming Vivobook K3605ZF-RP634W lên 564W thì thêm bao nhiêu tiền?,1,0,0
RTX 3050 có phải là card đồ họa rời không?,0,0,1
máy này có bao nhiêu RAM?,0,0,1
Chơi CS:GO high setting lên tới 100 FPS được không?,0,1,1
Máy này tản nhiệt thiết kế như thế nào?,0,0,1
Laptop này nâng cấp tối đa bao nhiêu GB RAM?,0,0,1
Laptop Dell Vostro 3520 có thể nâng cấp card đồ họa được không?,0,0,1
Giá hiện tại bao nhiêu?,1,0,0
laptop có bảo mật vân tay và khuôn mặt không,0,0,1
Có thể nâng cấp RAM khi mua máy không? Có mất phí hoặc ảnh hưởng đến bảo hành không?,0,0,1
Máy có cài sẵn Office bản quyền không?,0,0,1
Máy có đèn led bàn phím không?,0,0,1
Máy này là mới hay đã qua sử dụng?,0,0,1
Máy này có giá bao nhiêu tại TPHCM?,1,0,0
Dòng máy này có màu bạc không?,0,0,1
màn hình cảm ứng có được kích hoạt sẵn không?,0,0,1
Máy này có cảm ứng màn hình không?,0,0,1
Máy này chơi game Đột Kích ổn không? Máy pin rời hay pin liền?,0,1,1
Máy này có sử dụng được Premiere không?,0,1,0
Máy chơi được Honkai Star Rail không?,0,1,0
Máy nặng bao nhiêu kg? Sản xuất năm bao nhiêu?,0,0,1
Máy này chơi Valorant được không?,0,1,0
Để đổi từ sạc 3 chân sang sạc 2 chân thì mua loại sạc Dell nào?,0,0,1
"Máy có được trang bị sẵn Word, Powerpoint, Excel không và nếu có thì là phiên bản mấy?",0,0,1
Thời lượng pin bao lâu?,0,0,1
Laptop sản xuất năm nào của nước nào?,0,0,1
Sản phẩm này có nâng cấp ổ cứng được không?,0,0,1
Máy còn màu khác không?,0,0,1
Màn hình laptop Dell này có đẹp và nhiều màu sắc sinh động hơn Laptop HP 15s fq5160TU i5 1235U/16GB/512GB/15.6FHD/Win 11 không?,0,0,1
Máy này dùng eGPU được không?,0,0,1
bàn phím laptop i7 có đèn LED không?,0,0,1
máy này dùng thiết kế đồ họa 2D và chơi game Liên Minh Huyền Thoại tốt không?,0,1,0
jack cắm tai nghe bao nhiêu mm?,0,0,1
máy có cổng tai nghe không?,0,0,1
Máy này các bộ phận bên trong là rời hay liền?,0,0,1
vỏ nhựa hay kim loại,0,0,1
Máy này cài Windows giá bao nhiêu và có chơi game được không?,1,1,0
Máy này chạy ứng dụng thiết kế 3D chuyên nghiệp có mượt không?,0,1,0
có màu space black không?,0,0,1
Thu cũ lên đời Macbook pro 14 M3 pro 18GB - 512GB 11CPU 14GPU tầm giá bao nhiêu?,1,0,0
Laptop 50 triệu có phiên bản 16 inch không?,1,0,1
Việc thay SSD có làm mất bản quyền Windows 11 không?,0,0,1
Máy này có dùng Canva và các tác vụ như Google Docs mượt mà không?,0,1,0
Dòng máy này làm văn phòng và học tập có ổn không? Cấu hình đó chơi game giải trí thì sao?,0,1,0
Laptop cho học sinh lớp 5,0,1,0
Máy này có mấy khe cắm RAM và có nâng cấp được không?,0,0,1
"Laptop nào dùng văn phòng khoảng 12 triệu, màn hình dưới 14 inch?",1,1,0
máy này chơi Valorant ổn không?,0,1,0
Máy này làm lập trình game có ổn không?,0,1,0
Giá nâng cấp từ i5 lên i7 bao nhiêu?,1,0,1
máy này chơi game ổn không,0,1,0
laptop này có hỗ trợ game Honkai Star Rail không?,0,1,0
Máy này có chơi được giả lập Yuzu và game Honkai Star Rail không?,0,1,0
Máy này vẽ AutoCAD và làm văn phòng cơ bản có ổn không?,0,1,0
máy này có chơi được Honkai Star Rail không?,0,1,0
giá máy này cho sinh viên bao nhiêu?,1,1,0
Máy edit video và ảnh có ổn không?,0,1,0
máy này có nâng cấp RAM thêm không,0,0,1
mua máy có được miễn phí Office 1 năm không,0,0,1
máy có gắn thêm ổ cứng và RAM được không?,0,0,1
Giá sinh viên của dòng này là bao nhiêu?,1,0,0
Giá hiện tại cho hssv dòng này là bao nhiêu?,1,0,0
Máy này dùng học thiết kế đồ họa và chơi game LMHT được không?,0,1,0
Con này chơi game mượt không,0,1,0
Giá laptop MSI Modern 14 C12MO-660VN I5-1235U/16GB/512GB bản cũ là bao nhiêu?,1,0,0
Asus Vivobook 14 OLED A1405VA-KM095W có đèn phím không?,0,0,1
Máy này giá bao nhiêu cho sinh viên?,1,0,0
So sánh chip i5 13500H và i7 12700H về hiệu năng và độ bền,0,0,1
Laptop ASUS VivoBook 14 OLED A1405VA-KM095W và ASUS Vivobook 14 OLED A1405VA-KM257W khác nhau chỗ nào?,0,0,1
Nâng cấp ổ cứng tối đa bao nhiêu?,0,0,1
máy này giá bao nhiêu?,1,0,0
máy này có đèn bàn phím không,0,0,1
pin của máy này có trâu không?,0,0,1
máy hỗ trợ eGPU rời không?,0,0,1
Laptop này có thể nâng cấp dung lượng không?,0,0,1
máy có nâng cấp RAM được không,0,0,1
Cách tắt màn hình khi máy vẫn hoạt động?,0,0,1
máy được làm từ kim loại hay nhựa?,0,0,1
Thời lượng pin của máy này khoảng bao lâu?,0,0,1
máy này nguyên seal không,0,0,1
Máy có tản nhiệt không?,0,0,1
máy này có đèn bàn phím không?,0,0,1
Máy này chơi Genshin được không?,0,1,0
Laptop nào trong tầm giá này tương đương laptop này?,1,1,0
"Laptop này pin có tốt không, có bền bỉ không, có phù hợp để chơi Liên Minh Huyền Thoại, sử dụng Photoshop và viết code không?",0,1,1
máy này có khe để nâng cấp thêm ổ cứng không?,0,0,1
Hỗ trợ nâng cấp lên 32GB RAM không?,0,0,1
Giá máy khi không lấy quà và giá Microsoft Office Home khi mua kèm là bao nhiêu?,1,0,1
"Máy có hỗ trợ ứng dụng văn phòng cơ bản (Word, Excel, PowerPoint) không?",0,1,0
Nâng cấp RAM tại cửa hàng được không?,0,0,1
Số khe SSD của máy là bao nhiêu và nâng cấp tối đa bao nhiêu dung lượng?,0,0,1
Máy này có MUX Switch không?,0,0,1
Chơi game có nóng làm giảm hiệu năng không?,0,1,1
Máy này chơi game Wukong không?,0,1,0
Nâng cấp RAM lên 32GB giá bao nhiêu?,1,0,1
Máy này có hỗ trợ cài đặt Office khi mua không?,0,0,1
Laptop 3520 có màu xám không?,0,0,1
Loại này có cảm ứng màn hình không,0,0,1
Thời lượng pin trung bình của laptop là bao nhiêu tiếng?,0,0,1
máy có đèn led bàn phím không,0,0,1
Máy này giá bao nhiêu?,1,0,0
"Máy này có cài sẵn Windows, Word, Excel không và trả góp trước bao nhiêu tiền?",1,0,1
Mẫu này có cài sẵn Windows chưa?,0,0,1
Có cài Windows sẵn không?,0,0,1
Laptop dùng ổ cứng SSD hay HDD?,0,0,1
"Trong tầm cấu hình và giá này, có loại máy nào không phải cảm ứng màn hình không?",1,1,1
Ổ cứng của máy là ổ HDD hay SSD?,0,0,1
Máy này xử lý công việc nhanh không?,0,1,0
Nâng cấp ổ cứng mất bao nhiêu?,0,0,1
Nâng cấp RAM lên 16GB tốn bao nhiêu tiền?,1,0,1
Dell Inspiron 15 3520 6R6NK ổ cứng là SSD hay HDD?,0,0,1
Có hỗ trợ nâng RAM lên 16GB và giá bao nhiêu?,0,0,1
Bản này có tặng kèm Office Home & Student 2021 vĩnh viễn không?,0,0,1
Trọng lượng máy này là 1.66kg hay 1.9kg? Hai mã Dell Inspiron 15 3520 6R6NK và Dell Inspiron 15 3520-5124BLK GJ8W7 khác nhau thế nào và chênh lệch 500k?,0,0,1
tần số quét máy này bao nhiêu,0,0,1
"Macbook Air M2 16GB RAM, 10-core GPU, 8-core CPU, 256GB SSD giá bao nhiêu?",1,0,1
Macbook air m2 8 CPU 10 GPU 16GB 256GB màu bạc giá bao nhiêu?,1,0,1
Lenovo LOQ 15IRX9 83DV012LVN có nâng cấp ổ cứng lên 2 TB được không?,0,0,1
Lenovo LOQ 15IRX9 83DV012LVN sạc đi kèm bao nhiêu W?,0,0,1
Giá nâng RAM và ổ cứng khoảng bao nhiêu?,0,0,1
giá sinh viên là bao nhiêu,1,0,0
Laptop Lenovo LOQ 15ARP9 83JC007HVN có nâng cấp 1TB SSD không?,0,0,1
giá sinh viên là bao nhiêu?,1,0,0
Giá cho sinh viên là bao nhiêu?,1,1,0
"R5-7523HS và i5-12450HX, cái nào tốt hơn cho thiết kế đồ họa và chơi game nặng?",0,1,0
Ryzen hay Intel ổn định hơn?,0,1,0
Máy này có đạt chuẩn Intel EVO không?,0,0,1
Pin sử dụng được bao lâu?,0,0,1
Máy có sẵn 16GB RAM hay cần nâng cấp?,0,0,1
Máy có đèn phím không và cách bật như thế nào?,0,0,1
"Máy có sẵn phần mềm Word, PowerPoint, Excel không?",0,0,1
Máy này có đáp ứng nhu cầu học lập trình web không?,0,1,0
Máy này có đèn LED bàn phím không?,0,0,1
RAM dòng máy này có nâng cấp được không?,0,0,1
"Máy này bật màn hình sáng 35%, dùng 3-4 ứng dụng học online (chrome, M.teams) 2 tiếng tụt 45% pin yếu hay lỗi?",0,0,1
Bàn phím có đèn không?,0,0,1
bàn phím có màu bạc không?,0,0,1
thời lượng pin thực tế của máy là bao nhiêu?,0,0,1
"Laptop có ổn cho đồ họa, PTS, AE, Illustrator không?",0,1,0
Chất lượng hoàn thiện và độ bền của máy này có tốt không?,0,0,1
Màn hình máy này có phải màn gương không?,0,0,1
Có đèn bàn phím không?,0,0,1
Máy này dùng để học IT có ổn không?,0,1,0
RAM tối đa của máy này là bao nhiêu?,0,0,1
Máy này chơi Ark hay FC4 mượt không?,0,1,0
Máy này chạy Windows 11 Home bản Single Language hay bản Home hỗ trợ đa ngôn ngữ?,0,0,1
laptop có nguyên seal không,0,0,1
Laptop Lenovo IdeaPad Slim 5 15IRU9 83D00003VN có bản 14 inch không?,0,0,1
Nâng cấp ổ cứng cho Laptop Lenovo IdeaPad Slim 5 15IRU9 83D00003VN lên 1 TB SSD hết bao nhiêu tiền?,1,0,1
laptop này có chơi được hết các tựa game không?,0,1,0
Thời lượng pin của máy này là bao nhiêu?,0,0,1
"máy này có đèn bàn phím không, bật như thế nào",0,0,1
i5 với r5 khác nhau điểm nào,0,0,1
"muốn mua laptop 16GB-512GB nhưng có nhiều mức giá khác nhau, thì nên mua loại nào?",1,0,1
Laptop này có góc mở màn hình tối đa bao nhiêu độ?,0,0,1
Máy có cài sẵn win 11 không?,0,0,1
Laptop Lenovo Ideapad Slim 5 14IAH8 và Lenovo IdeaPad Slim 3 14IAH8 khác nhau ở điểm nào,0,0,1
Máy có sạc nhanh không?,0,0,1
Máy này chơi Valorant max setting được không?,0,1,0
Máy này chạy Photoshop có tốt không?,0,1,0
Laptop Lenovo IdeaPad Slim 3 14IAH8 83EQ0005VN có độ phủ màu bao nhiêu?,0,0,1
Con này chip dòng gì?,0,0,1
Có nên vừa cắm sạc vừa sử dụng laptop không?,0,1,0
Mẫu này vỏ kim loại?,0,0,1
Máy có hỗ trợ sạc bằng cổng Type-C không?,0,0,1
mẫu này có nâng cấp RAM được không?,0,0,1
Máy này dùng được pin trong bao lâu?,0,0,1
Pin máy này dùng được bao lâu?,0,0,1
Máy có thể nâng cấp SSD lên 1TB không?,0,0,1
Nếu không lấy khuyến mãi thì giá còn bao nhiêu?,1,0,0
máy còn nâng cấp RAM được không,0,0,1
máy này dùng để học tập và làm văn phòng có ổn không,0,1,0
Máy này có nâng cấp card lên 3050 hoặc 4050 không?,0,0,1
Thời lượng pin sử dụng được bao nhiêu tiếng?,0,0,1
Máy này có nâng cấp ổ cứng SSD lên 1TB không?,0,0,1
"mẫu này chạy Adobe, Capcut ổn không",0,1,0
Máy có hỗ trợ vân tay không?,0,0,1
Có nâng cấp ổ SSD 1TB không?,0,0,1
máy này thiết kế đồ họa được không?,0,1,0
Có Asus Zenbook nào thông số tương tự không có màn hình cảm ứng không?,0,1,1
Máy này có mấy màu?,0,0,1
Máy này học khoa học dữ liệu được không?,0,1,0
Máy này có phù hợp cho đồ họa thiết kế không?,0,1,0
Máy có cài sẵn Windows khi mua về không?,0,0,1
"Máy có card đồ họa rời, phù hợp chỉnh sửa video và thiết kế không?",0,1,1
Laptop này dùng cho IT web app có ổn không?,0,1,0
Laptop này có ổn cho việc học thiết kế không?,0,1,0
Máy này có khe nâng cấp card đồ họa rời không?,0,0,1
RAM máy này có nâng cấp được không?,0,0,1
Bản i9 hỗ trợ tối đa bao nhiêu GB RAM?,0,0,1
máy này có hỗ trợ office vĩnh viễn không,0,0,1
Sản phẩm có hỗ trợ nâng cấp không?,0,0,1
máy này nâng cấp RAM tối đa bao nhiêu GB?,0,0,1
mẫu này có đèn led phím không,0,0,1
Máy có tương thích nâng cấp RAM lên 16GB không?,0,0,1
Bản i9 có nâng cấp RAM được không?,0,0,1
Thời lượng pin của máy này khi đi học là bao lâu?,0,1,1
Nâng RAM lên 16GB được không?,0,0,1
Loại này chạy AI và PTS có ổn không?,0,1,0
Máy này chơi FO4 có ổn không?,0,1,0
Acer Aspire 3 có bút không?,0,0,1
Máy này chơi được FC online không?,0,1,0
Máy này có lắp sim trực tiếp dùng được không hay cần thêm thiết bị hỗ trợ?,0,0,1
Laptop Acer Aspire 3 Spin A3SP14-31PT-387Z có chạy được Photoshop hay Blender không,0,1,0
"Laptop Acer Aspire 3 Spin A3SP14-31PT-387Z hơn 9 triệu có xài được Excel, Word, PowerPoint không?",1,1,0
Máy tính này còn kèm bút cảm ứng không?,0,0,1
máy này chơi game ổn không?,0,1,0
Máy này chơi FIFA ổn không?,0,1,0
Máy này chơi Liên Minh Huyền Thoại 4-5 ván có ổn không?,0,1,0
Máy có kèm bút cảm ứng không?,0,0,1
Máy đã cài sẵn phần mềm hay cần mua thêm?,0,0,1
Lên Apple MacBook Air M2 2024 8CPU 10GPU 16GB 512GB từ Apple MacBook Air M1 2024 16GB 256GB bù thêm bao nhiêu tiền?,1,0,0
MacBook Air M2 bản 16/256 có nâng cấp lên 16/512 được không và có mất phí không?,0,0,1
MacBook Air M2 8/256 muốn đổi lên 16/512 thì bù bao nhiêu tiền?,1,0,1
"Có cấu hình 24GB RAM, 512GB SSD không?",0,0,1
"Bản 16GB RAM, 512GB SSD có sạc 35W không?",0,0,1
Cần bù bao nhiêu tiền khi thu cũ đổi mới từ Laptop Asus Tuf Gaming F15 i5 12500 8GB RAM lên Macbook M2 16GB RAM 512GB?,1,0,0
MacBook Air có giá không?,1,0,0
bản lề máy này có 180 độ không?,0,0,1
Laptop này bàn phím có đèn nền không?,0,0,1
Máy chơi Valorant max setting không?,0,1,1
"Laptop này có bao nhiêu khe RAM, có thể nâng cấp lên 32GB và tối đa bao nhiêu GB RAM?",0,0,1
bàn phím có đèn không?,0,0,1
"Học logistics nên mua máy nào tầm 20 triệu, màn hình đẹp, chip ổn?",1,1,0
"Máy LAP-ASU-X1504VA-NJ069W-I3-1315U-BA có còn bảo hành khi nâng cấp RAM lên 16GB không, cần loại RAM nào, và có hỗ trợ lắp tại shop không?",0,0,1
Laptop ASUS VivoBook 15 X1504VA-NJ069W có màu khác không?,0,0,1
Có thể gập 180 độ không?,0,0,1
RAM và ổ cứng có thể nâng cấp tối đa bao nhiêu?,0,0,1
Máy có Office chưa,0,0,1
mẫu này lên thêm thanh RAM 8GB nữa là bao nhiêu tiền?,1,0,1
Máy này camera độ phân giải bao nhiêu?,0,0,1
Là i3 hay i5?,0,0,1
Chơi Liên Minh và Genshin Impact được không?,0,1,0
MacBook Air M3 bản 16GB RAM và 256GB SSD có nâng cấp ổ cứng sau này được không?,0,0,1
máy này có led phím không,0,0,1
Máy này có cảm ứng không?,0,0,1
Có cảm ứng màn hình không?,0,0,1
"Laptop Lenovo IdeaPad Slim 5 có bao nhiêu khe RAM, là DDR5 hay DDR4?",0,0,1
Laptop Lenovo IdeaPad Slim 5 14Q8X9 83HL000KVN có hỗ trợ Office Home and Student 2021 vĩnh viễn không?,0,0,1
Có kèm Office không?,0,0,1
